Состав,Алмаз,Золото,Железо,Незерит,Медь,Метеорит,Прочность
Железо,0.0,0.0,1.0,0.0,0.0,0.0,250.0
Алмаз,1.0,0.0,0.0,0.0,0.0,0.0,1250.0
Золото,0.0,1.0,0.0,0.0,0.0,0.0,7.78
Незерит,0.0,0.0,0.0,1.0,0.0,0.0,1250.0
Медь,0.0,0.0,0.0,0.0,1.0,0.0,550.0
Метеорит,0.0,0.0,0.0,0.0,0.0,1.0,550.0
Железо + Золото,0.0,0.5,0.5,0.0,0.0,0.0,31.32
2 Железо + Золото,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,49.47
3 Железо + Золото,0.0,0.25,0.75,0.0,0.0,0.0,68.06
4 Железо + Золото,0.0,0.2,0.8,0.0,0.0,0.0,87.35
Золото + Алмаз,0.5,0.5,0.0,0.0,0.0,0.0,16.21
Золото + Незерит,0.0,0.5,0.0,0.5,0.0,0.0,152.47
Железо + Алмаз,0.5,0.0,0.5,0.0,0.0,0.0,239.28
8 Железо + Золото,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,173.57
Железо + 2 Золото,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,22.03
Железо + 3 Золото,0.0,0.75,0.25,0.0,0.0,0.0,18.7
5 Железо + Золото,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,107.47
6 Железо + Золото,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,128.49
7 Железо + Золото,0.0,0.125,0.875,0.0,0.0,0.0,150.5
Медь + Железо,0.0,0.0,0.5,0.0,0.5,0.0,314.28
Алмаз + 7 Железо,0.125,0.0,0.875,0.0,0.0,0.0,249.48
Медь + Железо + Золото,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,49.74
5 Железо + 3 Золото,0.0,0.375,0.625,0.0,0.0,0.0,43.4
5 Медь + 3 Железо,0.0,0.0,0.375,0.0,0.625,0.0,367.94
3 Медь + 5 Железо,0.0,0.0,0.625,0.0,0.375,0.0,274.99
Медь + Алмаз,0.5,0.0,0.0,0.0,0.5,0.0,200.0
3 Железо + Алмаз,0.25,0.0,0.75,0.0,0.0,0.0,247.76
8 Медь + Золото,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,312.17
15 Медь + Золото,0.0,0.0625,0.0,0.0,0.9375,0.0,558.58
23 Медь + Золото,0.0,0.041666666666666664,0.0,0.0,0.9583333333333334,0.0,547.36
Медь + 2 Золото,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,10.82
Алмаз + Золото + Железо,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,45.8
Алмаз + Золото + Железо + 3 Медь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,403.02
Алмаз + Золото + Железо + 6 Медь,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.6666666666666666,0.0,544.02
Алмаз + Золото + Железо + 7 Медь,0.1,0.1,0.1,0.0,0.7,0.0,546.75
Алмаз + Золото + Железо + 8 Медь,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.7272727272727273,0.0,552.58
Алмаз + Золото + Железо + 9 Медь,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.75,0.0,554.88
Алмаз + Золото + Железо + 10 Медь,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.7692307692307693,0.0,555.06
Алмаз + Золото + Железо + 11 Медь,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.7857142857142857,0.0,554.39
Алмаз + Золото + Железо + 12 Медь,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.8,0.0,553.52
Алмаз + Золото + 2 Железо + 12 Медь,0.0625,0.0625,0.125,0.0,0.75,0.0,314.08
8 Алмаз + Незерит + Золото,0.8,0.1,0.0,0.1,0.0,0.0,3898.27
